,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.cse_thumbnail,pagemap.metatags,pagemap.cse_image
0,customsearch#result,Kho bạc Nhà nước thông báo tuyển dụng công chức năm 2024,Kho bạc Nhà nước thông báo <b>tuyển dụng</b> công chức năm <b>2024</b>,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7280157,vnanet.vn,"Mar 20, 2024 ... Kho bạc Nhà nước (KBNN) vừa có thông báo chính thức về việc tổ chức kỳ thi tuyển công chức vào cơ quan KBNN và 54 KBNN các tỉnh, ...","Mar 20, 2024 <b>...</b> Kho bạc Nhà nước (KBNN) vừa có thông báo chính thức về việc tổ chức kỳ thi <b>tuyển</b> công chức vào cơ quan KBNN và 54 KBNN các tỉnh,&nbsp;...",https://vnanet.vn/Frontend/TrackingView.aspx?IID=7280157,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7280157,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDWgAQz9d_OpkRqdmUJ8lETvps3gmYdLZUhZwdtqrHVP0yOlf6Kd-OM24&s', 'width': '275', 'height': '183'}]","[{'dc.publisher': 'Bnews', 'og:image': 'https://image.bnews.vn/MediaUpload/Medium/2024/03/18/kbnn-hung-yen-20240318162435.jpg', 'copyright': 'Copyright © 2017 by bnews.vn', 'og:image:width': '460', 'dc.creator.name': 'Bnews', 'rating': 'GENERAL', 'language': 'vi', 'distribution': 'Global', 'geo.position': '14.058324;108.277199', 'title': 'Kho bạc Nhà nước thông báo tuyển dụng công chức năm 2024', 'og:description': 'Kho bạc Nhà nước (KBNN) vừa có thông báo chính thức về việc tổ chức kỳ thi tuyển công chức vào cơ quan KBNN và 54 KBNN các tỉnh, thành phố trực thuộc trung ương, với 601 chỉ tiêu.', 'icbm': '14.058324, 108.277199', 'news_keywords': 'tuyển dung Kho bạc Nhà nước, tuyển dụng Kho bạc Nhà nước 2024, Kho bạc Nhà nước, tuyển dụng công chức, tuyển dụng 2024', 'fb:admins': '100010282418544', 'og:type': 'article', 'article:section': 'News', 'geo.region': 'VN-HN', 'msvalidate.01': 'BE4F6EA91139F2D2ED7423DCD6E29569', 'og:title': 'Kho bạc Nhà nước thông báo tuyển dụng công chức năm 2024', 'og:image:height': '345', 'article:author': 'An Ngọc/BNEWS/TTXVN', 'page-topic': 'KÊNH THÔNG TIN CỦA CHÍNH PHỦ DO TTXVN PHÁT HÀNH', 'fb:app_id': '1529153084071870', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=3.0', 'dc.title': 'Bnews - Tin tức kinh tế mới nhất, cập nhật 24h', 'name': 'content', 'dc.identifier': 'https://bnews.vn/', 'dc.language': 'vi', 'og:url': 'https://bnews.vn/kho-bac-nha-nuoc-thong-bao-tuyen-dung-cong-chuc-nam-2024/327241.html', 'geo.placename': 'Hà Nội, Việt Nam', 'format-detection': 'telephone=no'}]",[{'src': 'https://image.bnews.vn/MediaUpload/Medium/2024/03/18/kbnn-hung-yen-20240318162435.jpg'}]
1,customsearch#result,Năm học 2023 - 2024: Nghệ An gấp rút tuyển dụng giáo viên Mầm ...,Năm học 2023 - <b>2024</b>: Nghệ An gấp rút <b>tuyển dụng</b> giáo viên Mầm ...,https://chinhsachcuocsong.vnanet.vn/nam-hoc-2023-2024-nghe-an-gap-rut-tuyen-dung-giao-vien-mam-non/22586.html,chinhsachcuocsong.vnanet.vn,"Aug 4, 2023 ... Năm học 2023 - 2024: Nghệ An gấp rút tuyển dụng giáo viên Mầm non ... Nghệ An hiện còn thiếu khoảng 7.800 biên chế; trong đó nhiều nhất là bậc Mầm ...","Aug 4, 2023 <b>...</b> Năm học 2023 - <b>2024</b>: Nghệ An gấp rút <b>tuyển dụng</b> giáo viên Mầm non ... Nghệ An hiện còn thiếu khoảng 7.800 biên chế; trong đó nhiều nhất là bậc Mầm&nbsp;...",https://chinhsachcuocsong.vnanet.vn/nam-hoc...2024.../22586.html,https://chinhsachcuocsong.vnanet.vn/nam-hoc...<b>2024</b>.../22586.html,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSKPgahPl_BOvDPJ58MVjC4ddFbDjWvaUt3mlC0tr8tO0Aa1j9zprfh0I&s', 'width': '275', 'height': '183'}]","[{'og:image': 'https://imgchinhsachcuocsong.vnanet.vn/MediaUpload/Medium/2023/08/04/143635-nghe-an-1.jpg', 'copyright': 'Ban Tin trong nước - TTXVN', 'og:type': 'article', 'og:site_name': 'chinhsachcuocsong.vnanet.vn', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'og:title': 'Năm học 2023 - 2024: Nghệ An gấp rút tuyển dụng giáo viên Mầm non', 'title': 'Năm học 2023 - 2024: Nghệ An gấp rút tuyển dụng giáo viên Mầm non', 'og:url': 'https://chinhsachcuocsong.vnanet.vn/nam-hoc-2023-2024-nghe-an-gap-rut-tuyen-dung-giao-vien-mam-non/22586.html', 'og:description': 'Nghệ An hiện còn thiếu khoảng 7.800 biên chế; trong đó nhiều nhất là bậc Mầm non với hơn 6.000 người. Theo kế hoạch, đến ngày 30/8/2023, việc tuyển dụng giáo viên Mầm non diện 06, 09 ở tỉnh sẽ phải hoàn thành.'}]",[{'src': 'https://imgchinhsachcuocsong.vnanet.vn/MediaUpload/Medium/2023/08/04/143635-nghe-an-1.jpg'}]
2,customsearch#result,Ủy ban Chứng khoán Nhà nước tuyển dụng 52 chỉ tiêu công chức,Ủy ban Chứng khoán Nhà nước <b>tuyển dụng</b> 52 chỉ tiêu công chức,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7246451,vnanet.vn,"Feb 28, 2024 ... Bnews. Kết quả Vietlott Power 6/55 ngày 28/7 - Kết quả xổ số Vietlott hôm nay ngày 28 tháng 7 năm 2024 - Xổ số Vietlott Power ...","Feb 28, 2024 <b>...</b> Bnews. Kết quả Vietlott Power 6/55 ngày 28/7 - Kết quả xổ số Vietlott hôm nay ngày 28 tháng 7 năm <b>2024</b> - Xổ số Vietlott Power&nbsp;...",https://vnanet.vn/Frontend/TrackingView.aspx?IID=7246451,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7246451,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1bYR_p_31tbpr5iJl8elfhNjWcrOpR7ogFqDWBtkR9pKxzzTTOb_VGeRm&s', 'width': '191', 'height': '264'}]","[{'dc.publisher': 'Bnews', 'og:image': 'https://image.bnews.vn/MediaUpload/Medium/2024/02/28/trang-1-f986fb8aae0b03555a1a-20240228145346.jpg', 'copyright': 'Copyright © 2017 by bnews.vn', 'og:image:width': '460', 'dc.creator.name': 'Bnews', 'rating': 'GENERAL', 'language': 'vi', 'distribution': 'Global', 'geo.position': '14.058324;108.277199', 'title': 'Ủy ban Chứng khoán Nhà nước tuyển dụng 52 chỉ tiêu công chức', 'og:description': 'Ủy ban Chứng khoán Nhà nước vừa có thông báo về việc tổ chức tuyển dụng 52 công chức vào làm việc tại Ủy ban này theo chỉ tiêu năm 2024.', 'icbm': '14.058324, 108.277199', 'news_keywords': 'Ủy ban Chứng khoán Nhà nước, ủy ban chứng khoán tuyển dụng, tuyển dụng công chức', 'fb:admins': '100010282418544', 'og:type': 'article', 'article:section': 'News', 'geo.region': 'VN-HN', 'msvalidate.01': 'BE4F6EA91139F2D2ED7423DCD6E29569', 'og:title': 'Ủy ban Chứng khoán Nhà nước tuyển dụng 52 chỉ tiêu công chức', 'og:image:height': '345', 'article:author': 'BNEWS/TTXVN', 'page-topic': 'KÊNH THÔNG TIN CỦA CHÍNH PHỦ DO TTXVN PHÁT HÀNH', 'fb:app_id': '1529153084071870', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=3.0', 'dc.title': 'Bnews - Tin tức kinh tế mới nhất, cập nhật 24h', 'name': 'content', 'dc.identifier': 'https://bnews.vn/', 'dc.language': 'vi', 'og:url': 'https://bnews.vn/uy-ban-chung-khoan-nha-nuoc-tuyen-dung-52-chi-tieu-cong-chuc/324997.html', 'geo.placename': 'Hà Nội, Việt Nam', 'format-detection': 'telephone=no'}]",[{'src': 'https://image.bnews.vn/MediaUpload/Medium/2024/02/28/trang-1-f986fb8aae0b03555a1a-20240228145346.jpg'}]
3,customsearch#result,Bộ Nội vụ đề xuất nhiều nội dung cải cách trong tuyển dụng công ...,Bộ Nội vụ đề xuất nhiều nội dung cải cách trong <b>tuyển dụng</b> công ...,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7495809,vnanet.vn,"Bộ Nội vụ đề xuất nhiều nội dung cải cách trong tuyển dụng công chức. Thứ Hai, 22/07/2024 21:02 ...","Bộ Nội vụ đề xuất nhiều nội dung cải cách trong <b>tuyển dụng</b> công chức. Thứ Hai, 22/07/<b>2024</b> 21:02&nbsp;...",https://vnanet.vn/Frontend/TrackingView.aspx?IID=7495809,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7495809,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg5nRFq0d2size8eVEVNfC5OdsfC8To6Xu9pxMtsGSscXaikbGcW0lDmbr&s', 'width': '277', 'height': '182'}]","[{'og:image': 'https://cdnmedia.baotintuc.vn/Upload/Publish/Thoisu/canbo1.jpg', 'og:image:width': '460', 'article:published_time': '2024-07-22T21:02:00+07:00', 'og:site_name': 'baotintuc.vn', 'rating': 'GENERAL', 'language': 'vi', 'distribution': 'Global', 'og:description': 'Bộ Nội vụ cho biết, tới đây, nhiều quy định về tuyển dụng công chức sẽ được sửa đổi nhằm cải cách thủ tục hành chính, nâng cao chất lượng tuyển dụng.', 'og:image:secure_url': 'https://cdnmedia.baotintuc.vn/Upload/Publish/Thoisu/canbo1.jpg', 'twitter: image': 'https://cdnmedia.baotintuc.vn/Upload/Publish/Thoisu/canbo1.jpg', 'news_keywords': 'Bộ Nội vụ, tuyển dụng công chức, thi tuyển công chức', 'og:type': 'article', 'article:section': 'Thời sự', 'og:image:url': 'https://cdnmedia.baotintuc.vn/Upload/Publish/Thoisu/canbo1.jpg', 'author': 'baotintuc.vn', 'dable:item_id': '20240722204116238', 'og:title': 'Bộ Nội vụ đề xuất nhiều nội dung cải cách trong tuyển dụng công chức', 'og:image:height': '345', 'page-topic': 'KÊNH THÔNG TIN CỦA CHÍNH PHỦ DO TTXVN PHÁT HÀNH', 'article:tag': 'Bộ Nội vụ', 'fb:app_id': '156434197838325', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'mobileoptimized': '100', 'og:locale': 'vi_VN', 'twitter: card': 'summary_large_image', 'og:url': 'https://baotintuc.vn/thoi-su/bo-noi-vu-de-xuat-nhieu-noi-dung-cai-cach-trong-tuyen-dung-cong-chuc-20240722204116238.htm'}]",[{'src': 'https://cdnmedia.baotintuc.vn/Upload/Publish/Thoisu/canbo1.jpg'}]
4,customsearch#result,Doanh nghiệp Bắc Giang có nhu cầu tuyển dụng trên 37.200 lao ...,Doanh nghiệp Bắc Giang có nhu cầu <b>tuyển dụng</b> trên 37.200 lao ...,https://chinhsachcuocsong.vnanet.vn/doanh-nghiep-bac-giang-co-nhu-cau-tuyen-dung-tren-37200-lao-dong-trong-quy-iii-2024/42444.html,chinhsachcuocsong.vnanet.vn,"Jun 18, 2024 ... Ngày 18/6 thông tin từ Trung tâm Dịch vụ việc làm tỉnh Bắc Giang cho biết, trong quý III năm 2024, các doanh nghiệp Bắc Giang có nhu cầu tuyển ...","Jun 18, 2024 <b>...</b> Ngày 18/6 thông tin từ Trung tâm Dịch vụ việc làm tỉnh Bắc Giang cho biết, trong quý III năm <b>2024</b>, các doanh nghiệp Bắc Giang có nhu cầu <b>tuyển</b>&nbsp;...",https://chinhsachcuocsong.vnanet.vn/doanh...2024/42444.html,https://chinhsachcuocsong.vnanet.vn/doanh...<b>2024</b>/42444.html,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWpif0NmBchqRzCEQmLQglF_ItHjn0s0YbwZWM32YU8eSWH-A56Up6suTY&s', 'width': '260', 'height': '194'}]","[{'og:image': 'https://imgchinhsachcuocsong.vnanet.vn/MediaUpload/Medium/2024/06/18/182505-3.jpg', 'copyright': 'Ban Tin trong nước - TTXVN', 'og:type': 'article', 'og:site_name': 'chinhsachcuocsong.vnanet.vn', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'og:title': 'Doanh nghiệp Bắc Giang có nhu cầu tuyển dụng trên 37.200 lao động trong quý III/2024', 'title': 'Doanh nghiệp Bắc Giang có nhu cầu tuyển dụng trên 37.200 lao động trong quý III/2024', 'og:url': 'https://chinhsachcuocsong.vnanet.vn/doanh-nghiep-bac-giang-co-nhu-cau-tuyen-dung-tren-37200-lao-dong-trong-quy-iii-2024/42444.html', 'og:description': 'Các doanh nghiệp chủ yếu tuyển dụng lao động phổ thông, tuổi từ 18- 40 tuổi, có sức khỏe, chăm chỉ, chịu khó, có thể tăng ca làm đêm, với mức thu nhập trung bình từ 6 – 12 triệu/tháng.'}]",[{'src': 'https://imgchinhsachcuocsong.vnanet.vn/MediaUpload/Medium/2024/06/18/182505-3.jpg'}]
5,customsearch#result,VKSND tối cao tuyển dụng công chức năm 2024,VKSND tối cao <b>tuyển dụng</b> công chức năm <b>2024</b>,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7279967,vnanet.vn,"Mar 20, 2024 ... Đủ sức khỏe để công tác theo kết luận của cơ quan y tế có thẩm quyền; không bị dị hình, dị tật, khuyết tật, không nói lắp, nói ngọng; nam cao từ ...","Mar 20, 2024 <b>...</b> Đủ sức khỏe để công tác theo kết luận của cơ quan y tế có thẩm quyền; không bị dị hình, dị tật, khuyết tật, không nói lắp, nói ngọng; nam cao từ&nbsp;...",https://vnanet.vn/Frontend/TrackingView.aspx?IID=7279967,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7279967,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmmfZC1e8edexaVU3H8iNu0kA8l-EagA4eyh0YPIu-whzF8Uj3U46fAxFr&s', 'width': '276', 'height': '183'}]","[{'dc.publisher': 'Bnews', 'og:image': 'https://image.bnews.vn/MediaUpload/Medium/2021/05/24/2305-viem-ksndtc.jpeg', 'copyright': 'Copyright © 2017 by bnews.vn', 'og:image:width': '460', 'dc.creator.name': 'Bnews', 'rating': 'GENERAL', 'language': 'vi', 'distribution': 'Global', 'geo.position': '14.058324;108.277199', 'title': 'VKSND tối cao tuyển dụng công chức năm 2024', 'og:description': 'Viện Kiểm sát Nhân dân tối cao vừa ban hành kế hoạch tổ chức thi tuyển công chức năm 2024.', 'icbm': '14.058324, 108.277199', 'news_keywords': 'Viện Kiểm sát Nhân dân tối cao, tuyển dụng Viện Kiểm sát Nhân dân tối cao, tuyển dụng công chức, tuyển dụng công chức 2024', 'fb:admins': '100010282418544', 'og:type': 'article', 'article:section': 'News', 'geo.region': 'VN-HN', 'msvalidate.01': 'BE4F6EA91139F2D2ED7423DCD6E29569', 'og:title': 'VKSND tối cao tuyển dụng công chức năm 2024', 'og:image:height': '345', 'article:author': 'An Ngọc/BNEWS/TTXVN', 'page-topic': 'KÊNH THÔNG TIN CỦA CHÍNH PHỦ DO TTXVN PHÁT HÀNH', 'fb:app_id': '1529153084071870', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=3.0', 'dc.title': 'Bnews - Tin tức kinh tế mới nhất, cập nhật 24h', 'name': 'content', 'dc.identifier': 'https://bnews.vn/', 'dc.language': 'vi', 'og:url': 'https://bnews.vn/vksnd-toi-cao-tuyen-dung-cong-chuc-nam-2024/327222.html', 'geo.placename': 'Hà Nội, Việt Nam', 'format-detection': 'telephone=no'}]",[{'src': 'https://image.bnews.vn/MediaUpload/Medium/2021/05/24/2305-viem-ksndtc.jpeg'}]
6,customsearch#result,Phú Thọ: Nhu cầu tuyển dụng lao động tăng mạnh dịp đầu năm,Phú Thọ: Nhu cầu <b>tuyển dụng</b> lao động tăng mạnh dịp đầu năm,https://chinhsachcuocsong.vnanet.vn/phu-tho-nhu-cau-tuyen-dung-lao-dong-tang-manh-dip-dau-nam/35216.html,chinhsachcuocsong.vnanet.vn,"Mar 4, 2024 ... Theo ông Li HuaYang, Phó Tổng Giám đốc Công ty Trách nhiệm hữu hạn Vietnam Sunergy Cell tại Khu công nghiệp Cẩm Khê, dự kiến tháng 4/2024, Công ...","Mar 4, 2024 <b>...</b> Theo ông Li HuaYang, Phó Tổng Giám đốc Công ty Trách nhiệm hữu hạn Vietnam Sunergy Cell tại Khu công nghiệp Cẩm Khê, dự kiến tháng 4/<b>2024</b>, Công&nbsp;...",https://chinhsachcuocsong.vnanet.vn/phu-tho-nhu-cau.../35216.html,https://chinhsachcuocsong.vnanet.vn/phu-tho-nhu-cau.../35216.html,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEOvy_XBNFwpqB5vWYVSzt6l50lXVZMcEmJtHysDCzHq6I7AQF9n6E_D8F&s', 'width': '275', 'height': '183'}]","[{'og:image': 'https://imgchinhsachcuocsong.vnanet.vn/MediaUpload/Medium/2024/03/04/185148-4.jpg', 'copyright': 'Ban Tin trong nước - TTXVN', 'og:type': 'article', 'og:site_name': 'chinhsachcuocsong.vnanet.vn', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'og:title': 'Phú Thọ: Nhu cầu tuyển dụng lao động tăng mạnh dịp đầu năm', 'title': 'Phú Thọ: Nhu cầu tuyển dụng lao động tăng mạnh dịp đầu năm', 'og:url': 'https://chinhsachcuocsong.vnanet.vn/phu-tho-nhu-cau-tuyen-dung-lao-dong-tang-manh-dip-dau-nam/35216.html', 'og:description': 'Từ đầu năm 2024 đến nay, nhờ mở rộng sản xuất kinh doanh và số đơn đặt hàng tăng đã đưa số lao động đang làm việc trong các doanh nghiệp công nghiệp trên địa bàn tỉnh Phú Thọ tăng 6,69% so với tháng cùng kỳ năm trước.'}]",[{'src': 'https://imgchinhsachcuocsong.vnanet.vn/MediaUpload/Medium/2024/03/04/185148-4.jpg'}]
7,customsearch#result,Tuyển dụng lao động của Việt Nam đối mặt với nhiều thách thức ...,<b>Tuyển dụng</b> lao động của Việt Nam đối mặt với nhiều thách thức ...,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7201164,vnanet.vn,"Tuyển dụng lao động của Việt Nam đối mặt với nhiều thách thức trong năm 2024. A.Tuấn 26/01/2024 20:39. Theo khảo sát của Adecco Việt Nam, 37% doanh nghiệp ...","<b>Tuyển dụng</b> lao động của Việt Nam đối mặt với nhiều thách thức trong năm <b>2024</b>. A.Tuấn 26/01/<b>2024</b> 20:39. Theo khảo sát của Adecco Việt Nam, 37% doanh nghiệp&nbsp;...",https://vnanet.vn/Frontend/TrackingView.aspx?IID=7201164,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7201164,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8q5f3hdxaCWql7pOsn0Gqx0L2wfL2fEQN_3E898qWTLK375C681KZ6BMW&s', 'width': '310', 'height': '163'}]","[{'og:image': 'https://imagev3.vietnamplus.vn/1200x630/Uploaded/2024/ngtnnn/2024_01_27/ttxvn-2701vieclam-1175.jpg.webp', 'copyright': 'Copyright © 2024 by Vietnam+ (VietnamPlus)', 'og:image:width': '1200', 'article:published_time': '2024-01-27T11:39:01+0700', 'og:site_name': 'Vietnam+ (VietnamPlus)', 'twitter:url': 'https://www.vietnamplus.vn/post-923351.vnp', 'apple-mobile-web-app-title': 'Vietnam+ (VietnamPlus)', 'rating': 'GENERAL', 'source': 'Vietnam+ (VietnamPlus)', 'medium': 'news', 'og:description': 'Theo khảo sát của\xa0Adecco Việt Nam,\xa037% doanh nghiệp có ý định duy trì quy mô nhân sự hiện tại, 35% doanh nghiệp có kế hoạch tăng cường đội ngũ nhân viên ở mức dưới 25% so với hiện nay.', 'twitter:creator': '@Vietnam+ (VietnamPlus)', 'twitter:image': 'https://imagev3.vietnamplus.vn/1200x630/Uploaded/2024/ngtnnn/2024_01_27/ttxvn-2701vieclam-1175.jpg.webp', 'article:publisher': 'https://www.facebook.com/VietnamPlus', 'twitter:site': '@Vietnam+ (VietnamPlus)', 'article:modified_time': '2024-01-27T11:39:01+0700', 'news_keywords': 'Thành phố Hồ Chí Minh,Tuyển dụng nhân sự,Doanh nghiệp,Lao động,Chính sách lương thưởng', 'og:type': 'article', 'twitter:title': 'Tuyển dụng lao động của Việt Nam đối mặt với nhiều thách thức trong năm 2024', 'article:section': 'Xã hội', 'author': 'Vietnam+ (VietnamPlus)', 'dable:item_id': '923351', 'og:title': 'Tuyển dụng lao động của Việt Nam đối mặt với nhiều thách thức trong năm 2024', 'og:image:height': '630', 'fb:pages': '120834779440', 'article:tag': 'Thành phố Hồ Chí Minh,Tuyển dụng nhân sự,Doanh nghiệp,Lao động,Chính sách lương thưởng', 'referrer': 'no-referrer-when-downgrade', 'fb:app_id': '1960985707489919', 'dable:author': 'A.Tuấn', 'apple-mobile-web-app-status-bar-style': 'black', 'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes', 'twitter:description': 'Theo khảo sát của\xa0Adecco Việt Nam,\xa037% doanh nghiệp có ý định duy trì quy mô nhân sự hiện tại, 35% doanh nghiệp có kế hoạch tăng cường đội ngũ nhân viên ở mức dưới 25% so với hiện nay.', 'og:rich_attachment': 'true', 'dable:image': 'https://imagev3.vietnamplus.vn/600x315/Uploaded/2024/ngtnnn/2024_01_27/ttxvn-2701vieclam-1175.jpg.webp', 'og:url': 'https://www.vietnamplus.vn/post-923351.vnp', 'format-detection': 'telephone=no'}]",[{'src': 'https://imagev3.vietnamplus.vn/1200x630/Uploaded/2024/ngtnnn/2024_01_27/ttxvn-2701vieclam-1175.jpg.webp'}]
8,customsearch#result,Các doanh nghiệp Hà Nam tuyển dụng lao động số lượng lớn - Ảnh ...,Các doanh nghiệp Hà Nam <b>tuyển dụng</b> lao động số lượng lớn - Ảnh ...,https://vnanet.vn/vi/anh/anh-thoi-su-trong-nuoc-1014/cac-doanh-nghiep-ha-nam-tuyen-dung-lao-dong-so-luong-lon-7438421.html,vnanet.vn,"Jun 19, 2024 ... Phỏng vấn tuyển dụng lao động tại Ngày hội việc làm tỉnh Hà Nam 2024.","Jun 19, 2024 <b>...</b> Phỏng vấn <b>tuyển dụng</b> lao động tại Ngày hội việc làm tỉnh Hà Nam <b>2024</b>.",https://vnanet.vn/.../cac-doanh-nghiep-ha-nam-tuyen-dung-lao-dong-so-lu...,https://vnanet.vn/.../cac-doanh-nghiep-ha-nam-tuyen-dung-lao-dong-so-lu...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-_tuI-Dghtu_mc1XTIAW6Gipg9v7durEoz23HSlp39roO9BseY8olQ3Xs&s', 'width': '272', 'height': '185'}]","[{'og:image': 'https://vnanet.vn/Data/Articles/2024/06/19/7438423/vna_potal_cac_doanh_nghiep_ha_nam_tuyen_dung_lao_dong_so_luong_lon_stand.jpg', 'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'og:title': 'Các doanh nghiệp Hà Nam tuyển dụng lao động số lượng lớn - Ảnh thời sự trong nước - Kinh tế - Thông tấn xã Việt Nam (TTXVN)', 'og:posttime': '2024-06-19T13:49:06T+07:00', 'og:url': 'https://vnanet.vn/vi/anh/anh-thoi-su-trong-nuoc-1014/cac-doanh-nghiep-ha-nam-tuyen-dung-lao-dong-so-luong-lon-7438421.html', 'og:description': 'Nhằm đáp ứng yêu cầu sản xuất kinh doanh khi các đơn hàng được đặt trở lại, nhiều doanh nghiệp tại các khu công nghiệp, cụm công nghiệp ở Hà Nam đang cần tuyển dụng số lượng lớn lao động. Theo Ban Quản lý các khu công nghiệp tỉnh Hà Nam, năm 2024, các doanh nghiệp trong khu công nghiệp của tỉnh có nhu cầu tuyển dụng trên 16.000 lao động. Ảnh: Đại Nghĩa - TTXVN'}]",[{'src': 'https://vnanet.vn/Data/Articles/2024/06/19/7438423/vna_potal_cac_doanh_nghiep_ha_nam_tuyen_dung_lao_dong_so_luong_lon_stand.jpg'}]
9,customsearch#result,"Hơn 12.000 chỉ tiêu tuyển dụng, tuyển sinh tại phiên giao dịch việc ...","Hơn 12.000 chỉ tiêu <b>tuyển dụng</b>, tuyển sinh tại phiên giao dịch việc ...",https://vnanet.vn/Frontend/TrackingView.aspx?IID=7311034,vnanet.vn,"Apr 7, 2024 ... Ngày 7/4, Sở Lao động Hà Nội tổ chức Phiên giao dịch và tư vấn việc làm lưu động quận Hà Đông năm 2024 với tổng nhu cầu tuyển dụng hơn ...","Apr 7, 2024 <b>...</b> Ngày 7/4, Sở Lao động Hà Nội tổ chức Phiên giao dịch và tư vấn việc làm lưu động quận Hà Đông năm <b>2024</b> với tổng nhu cầu <b>tuyển dụng</b> hơn&nbsp;...",https://vnanet.vn/Frontend/TrackingView.aspx?IID=7311034,https://vnanet.vn/Frontend/TrackingView.aspx?IID=7311034,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5rYOgdlZRVGX58GeMzEcDpvrBPhpk2FphD0Q2QxvdCI7f-mr3O7uu-mU&s', 'width': '259', 'height': '194'}]","[{'og:image': 'https://cdnmedia.baotintuc.vn/Upload/ekaE01yuAw3S4G2j0Rtmuw/files/2024/04/VIECLAMHADONG/vlhadong070424-1.jpg', 'og:image:width': '460', 'article:published_time': '2024-04-07T12:07:00+07:00', 'og:site_name': 'baotintuc.vn', 'rating': 'GENERAL', 'language': 'vi', 'distribution': 'Global', 'og:description': 'Ngày 7/4, Sở Lao động, Thương binh và Xã hội (LĐTBXH) Hà Nội và UBND quận Hà Đông tổ chức Phiên giao dịch và tư vấn việc làm lưu động quận Hà Đông năm 2024 với tổng nhu cầu tuyển sinh, tuyển dụng, xuất khẩu lao động hơn 12.000 chỉ tiêu; đồng thời đa dạng các vị trí, ngành nghề cùng mức lương hấp dẫn.', 'og:image:secure_url': 'https://cdnmedia.baotintuc.vn/Upload/ekaE01yuAw3S4G2j0Rtmuw/files/2024/04/VIECLAMHADONG/vlhadong070424-1.jpg', 'twitter: image': 'https://cdnmedia.baotintuc.vn/Upload/ekaE01yuAw3S4G2j0Rtmuw/files/2024/04/VIECLAMHADONG/vlhadong070424-1.jpg', 'news_keywords': 'nhu cầu tuyển dụng, vị trí việc làm, tuyển sinh, mức lương hấp dẫn, Hà Đông, Hà Nội', 'og:type': 'article', 'article:section': 'Hà Nội', 'og:image:url': 'https://cdnmedia.baotintuc.vn/Upload/ekaE01yuAw3S4G2j0Rtmuw/files/2024/04/VIECLAMHADONG/vlhadong070424-1.jpg', 'author': 'baotintuc.vn', 'dable:item_id': '20240407112337477', 'og:title': 'Hơn 12.000 chỉ tiêu tuyển dụng, tuyển sinh tại Phiên giao dịch việc làm Hà Đông', 'og:image:height': '345', 'page-topic': 'KÊNH THÔNG TIN CỦA CHÍNH PHỦ DO TTXVN PHÁT HÀNH', 'article:tag': 'nhu cầu tuyển dụng', 'fb:app_id': '156434197838325', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'mobileoptimized': '100', 'og:locale': 'vi_VN', 'twitter: card': 'summary_large_image', 'og:url': 'https://baotintuc.vn/ha-noi/hon-12000-chi-tieu-tuyen-dung-tuyen-sinh-tai-phien-giao-dich-viec-lam-ha-dong-20240407112337477.htm'}]",[{'src': 'https://cdnmedia.baotintuc.vn/Upload/ekaE01yuAw3S4G2j0Rtmuw/files/2024/04/VIECLAMHADONG/vlhadong070424-1.jpg'}]
